ID,sequence,treatment,aphLength,aphWidth,aphSize,propOnL,propOffL,propSOL,totalDisp,totalRotation,averageVelocity,Green,Blue,UV,R.pwm,G.pwm,B.pwm,U.pwm
56,3LEDid11,11,2.17921215,1.040756457,7.129140693,0.92733853,0.07266147,0.78201559,26.8773889,0.41160268,0.007983362,3.280151745,2.758006,0.226647636,120,127,60,127
57,3LEDid34,11,2.079592669,1.109142438,7.240130787,1,0,0.981620718,8.212002827,0.447365918,0.002259318,3.280151745,2.758006,0.226647636,120,127,60,127
58,3LEDid34,11,2.37983599,1.349783313,10.06336127,0.981899192,0.018100808,0.927318296,10.57594537,0.338109583,0.002968518,3.280151745,2.758006,0.226647636,120,127,60,127
59,3LEDid34,11,2.270251139,1.213865874,8.651169246,0.736285157,0.263714843,0.663324979,12.45022404,0.559971612,0.004642955,3.280151745,2.758006,0.226647636,120,127,60,127
60,3LEDid34,11,2.416727974,1.504751413,11.41936336,0.863547758,0.136452242,0.717905876,22.59279422,0.67866832,0.007206083,3.280151745,2.758006,0.226647636,120,127,60,127
61,3LEDid34,11,2.072527815,1.190294992,7.795688167,1,0,0.863826232,14.59850029,0.572186009,0.004031914,3.280151745,2.758006,0.226647636,120,127,60,127
62,3LEDid34,11,1.838741622,1.05879155,6.088467937,0.009189641,0.990810359,0,1.444098724,0.037011445,0.021880284,3.280151745,2.758006,0.226647636,120,127,60,127
63,3LEDid34,11,2.663862336,1.27926026,10.72241553,0.318295739,0.681704261,0.263714843,6.065621555,0.07539394,0.005144997,3.280151745,2.758006,0.226647636,120,127,60,127
64,3LEDid34,11,2.176718247,1.170364449,8.765584003,0.072960178,0.927039822,0.009189641,5.937363483,0.088167311,0.020227813,3.280151745,2.758006,0.226647636,120,127,60,127
65,3LEDid34,11,2.220749472,1.107729267,7.913306902,0.336396547,0.663603453,0.263714843,21.10149756,0.237137011,0.017182541,3.280151745,2.758006,0.226647636,120,127,60,127
66,3LEDid34,11,2.351207203,1.155265757,8.54655558,1,0,1,7.270505292,0.194785672,0.002005502,3.280151745,2.758006,0.226647636,120,127,60,127
67,3LEDid34,11,2.160961136,1.242582379,8.418552185,0.972709552,0.027290448,0.918685603,11.07093033,0.903679562,0.003155769,3.280151745,2.758006,0.226647636,120,127,60,127
68,3LEDid29,12,2.940361777,1.51987496,14.01060905,0.863585746,0.136414254,0.390868597,59.62627762,0.608366143,0.019030201,3.508238037,3.143499248,0.449996312,120,127,60,255
69,3LEDid29,12,3.035439169,1.435240624,13.74734561,0.273106904,0.726893096,0.045935412,70.00491597,0.460508016,0.069095327,3.508238037,3.143499248,0.449996312,120,127,60,255
70,3LEDid29,12,2.605335901,1.12823512,9.335462457,0.045657016,0.954342984,0.009187082,8.12425493,0.109698604,0.041264413,3.508238037,3.143499248,0.449996312,120,127,60,255
71,3LEDid29,12,2.782107299,1.491741874,13.00324156,0.981904232,0.018095768,0.854120267,21.66988077,0.611550517,0.006078223,3.508238037,3.143499248,0.449996312,120,127,60,255
72,3LEDid29,12,2.876340604,1.687829339,15.27180975,0.900334076,0.099665924,0.554565702,53.38764783,0.713681651,0.016324936,3.508238037,3.143499248,0.449996312,120,127,60,255
73,3LEDid29,12,3.287099945,1.45594799,15.05902854,0.018374165,0.981625835,0,8.33472069,0.046618596,0.084189098,3.508238037,3.143499248,0.449996312,120,127,60,255
74,3LEDid29,12,3.340922639,1.752833108,18.3759951,0.972717149,0.027282851,0.672048998,43.89084569,0.91305361,0.012430478,3.508238037,3.143499248,0.449996312,120,127,60,255
